date,day,aircraft,helicopter,tank,APC,field_artillery,MRL,drone,naval_ship,anti_aircraft_warfare,special_equipment,vehicles_and_fuel_tanks,cruise_missiles,submarines
2023-06-26,488,314,308,4031,7820,4055,624,3482,18,385,557,6751,1259,
2023-06-27,489,314,308,4036,7834,4083,626,3492,18,386,563,6772,1261,
2023-06-28,490,314,308,4036,7847,4089,627,3499,18,387,563,6774,1261,
2023-06-29,491,315,308,4038,7857,4116,627,3513,18,388,569,6780,1261,
2023-06-30,492,315,308,4041,7863,4127,630,3519,18,389,569,6785,1261,
2023-07-01,493,315,308,4042,7868,4162,632,3545,18,389,580,6794,1261,
2023-07-02,494,315,308,4052,7888,4188,637,3557,18,390,583,6816,1261,
2023-07-03,495,315,309,4057,7899,4220,641,3573,18,391,590,6834,1264,
2023-07-04,496,315,309,4059,7908,4252,647,3602,18,394,590,6843,1264,
2023-07-05,497,315,309,4062,7917,4288,656,3614,18,395,598,6865,1264,
2023-07-06,498,315,309,4068,7932,4310,657,3635,18,404,605,6888,1264,
2023-07-07,499,315,309,4070,7944,4330,658,3652,18,408,612,6898,1271,
2023-07-08,500,315,309,4074,7953,4346,661,3666,18,410,619,6914,1271,
2023-07-09,501,315,309,4078,7964,4366,668,3685,18,413,628,6929,1271,
2023-07-10,502,315,309,4085,7966,4371,668,3686,18,414,632,6937,1271,
2023-07-11,503,315,310,4089,7983,4385,672,3693,18,414,640,6966,1271,
2023-07-12,504,315,310,4090,7990,4402,674,3726,18,415,647,6978,1271,
2023-07-13,505,315,310,4092,7999,4425,678,3752,18,421,652,6995,1271,
2023-07-14,506,315,310,4097,8008,4449,680,3783,18,423,662,7019,1273,
2023-07-15,507,315,310,4102,8019,4463,680,3807,18,425,664,7036,1273,
2023-07-16,508,315,310,4107,8026,4481,681,3820,18,425,666,7044,1273,
2023-07-17,509,315,310,4115,8034,4504,685,3828,18,428,677,7059,1273,
2023-07-18,510,315,310,4119,8051,4542,689,3839,18,428,677,7086,1273,
2023-07-19,511,315,310,4123,8059,4573,689,3885,18,430,683,7105,1279,
2023-07-20,512,315,310,4129,8065,4592,692,3918,18,433,685,7134,1293,
2023-07-21,513,315,310,4133,8080,4610,692,3933,18,440,686,7145,1298,
2023-07-22,514,315,310,4140,8096,4629,693,3944,18,448,691,7159,1298,
2023-07-23,515,315,310,4151,8105,4658,697,3958,18,451,696,7172,1298,
2023-07-24,516,315,310,4162,8118,4675,697,3963,18,452,698,7182,1307,
2023-07-25,517,315,310,4174,8131,4705,698,3977,18,454,703,7194,1307,
2023-07-26,518,315,311,4177,8136,4727,698,3993,18,457,708,7211,1307,
2023-07-27,519,315,311,4186,8147,4745,698,3996,18,457,708,7229,1347,
2023-07-28,520,315,311,4190,8161,4775,698,4007,18,458,709,7240,1347,
2023-07-29,521,315,311,4191,8167,4786,698,4007,18,458,710,7247,1347,
2023-07-30,522,315,311,4205,8178,4795,698,4011,18,459,711,7275,1347,
2023-07-31,523,315,311,4211,8188,4816,699,4017,18,460,715,7292,1347,
2023-08-01,524,315,311,4216,8205,4839,699,4027,18,462,718,7324,1347,
2023-08-02,525,315,311,4217,8213,4866,700,4042,18,463,718,7349,1347,
2023-08-03,526,315,311,4224,8234,4892,704,4077,18,465,721,7372,1347,
2023-08-04,527,315,311,4228,8249,4911,704,4104,18,466,724,7392,1347,
2023-08-05,528,315,311,4232,8251,4943,704,4116,18,466,730,7422,1347,
2023-08-06,529,315,311,4237,8262,4965,705,4126,18,466,734,7441,1359,
2023-08-07,530,315,311,4244,8270,4977,709,4154,18,467,735,7451,1377,
2023-08-08,531,315,312,4254,8278,4996,709,4158,18,468,737,7460,1377,
2023-08-09,532,315,312,4262,8290,5013,711,4175,18,469,742,7479,1377,
2023-08-10,533,315,313,4278,8303,5028,711,4179,18,469,746,7495,1377,
2023-08-11,534,315,313,4290,8318,5043,713,4197,18,471,756,7511,1377,
2023-08-12,535,315,313,4295,8324,5053,713,4201,18,472,759,7523,1378,
2023-08-13,536,315,313,4298,8335,5072,713,4204,18,477,760,7543,1379,
2023-08-14,537,315,313,4306,8354,5099,714,4213,18,479,766,7562,1379,
2023-08-15,538,315,314,4313,8370,5128,714,4242,18,482,769,7584,1387,
2023-08-16,539,315,314,4324,8380,5152,714,4248,18,485,773,7614,1404,
2023-08-17,540,315,314,4329,8398,5169,714,4272,18,486,773,7641,1406,
2023-08-18,541,315,316,4332,8410,5193,714,4276,18,486,783,7658,1406,
2023-08-19,542,315,316,4340,8424,5212,714,4282,18,486,785,7665,1406,
2023-08-20,543,315,316,4346,8435,5245,717,4304,18,489,790,7680,1406,
2023-08-21,544,315,316,4358,8449,5264,719,4309,18,489,794,7692,1406,
2023-08-22,545,315,316,4362,8476,5295,721,4312,18,491,797,7722,1406,
2023-08-23,546,315,316,4373,8488,5318,722,4324,18,491,800,7745,1406,
2023-08-24,547,315,316,4375,8511,5333,723,4344,18,494,801,7773,1406,
2023-08-25,548,315,316,4378,8521,5361,724,4356,18,495,802,7790,1409,
2023-08-26,549,315,316,4390,8539,5379,726,4367,18,497,804,7823,1411,
2023-08-27,550,315,316,4396,8554,5403,728,4378,18,498,808,7854,1411,
2023-08-28,551,315,316,4400,8562,5425,730,4383,18,499,809,7866,1415,
2023-08-29,552,315,316,4414,8579,5450,733,4387,18,500,820,7909,1419,
